FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Miguel,Britos,DEF,WAT,4300000,0,20,0.740740740740741,1.72265288544358E-07,4.65116279069767E-06,0,145076,3,12,0,0,0,1,0,4.7,361,-2,0,20,2,0,0,0,0,0,2,0,0,0.5,115155,0,0,0,0,704,11,0,1,129,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,24.4
Leon,Britton,MID,SWA,4400000,0,9,0.333333333333333,7.57575757575757E-08,2.04545454545455E-06,0,8693,1,1,0,0,0,0,0,2,100,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,4084,0,0,0,0,269,12,0,0,25,Brighton,West Ham,Huddersfield,Man Utd,West Brom,0,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,0.592592592592593,1.13960113960114E-07,3.07692307692308E-06,0,3884,0,8,0,0,0,0,0,3.1,22,-3,0,16,3,0,0,0,0,0,0,0,0,0,649,0,0,0,0,302,7,0,0,60,Swansea,Arsenal,Everton,Leicester,Huddersfield,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,14.5
,Bruno,DEF,BHA,4500000,0,65,3.3,7.33333333333333E-07,1.44444444444444E-05,0,90639,3,19,0,0,0,0,0,14.4,6153,0,0,65,0,0,0,0,5,0,8,0,0,1.2,135661,0,0,0,0,1635,507,0,0,336,Swansea,Arsenal,Everton,Leicester,Huddersfield,3.6,4.6,2,0,3.6,4.2,3.8,3.8,3.1,4,2.9,44.7
Chris,Brunt,MID,WBA,5000000,1,50,1.85185185185185,3.7037037037037E-07,1E-05,0,134438,2,10,0,0,0,0,0,10,602,-5,0,50,5,0.7,0,3.3,5,0,6,0,5,0.5,123481,0,0,0,0,993,1388,0,0,228,Huddersfield,Watford,Leicester,Bournemouth,Burnley,1.8,0.9,1.5,1,1.4,1.5,0.9,1.1,1,1.2,0.9,77.8
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,4,0,0,0,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Burke,MID,WBA,4900000,1,14,0.518518518518518,1.05820105820106E-07,2.85714285714286E-06,0,3592,0,8,0,0,0,0,0,2.9,34,-6,0,14,6,0.1,0,0.7,0,0,0,0,1,0,3705,0,0,0,0,232,25,0,0,36,Huddersfield,Watford,Leicester,Bournemouth,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.5
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,2854,0,0,0,0,0,21,0,0,0,Liverpool,Swansea,Burnley,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Butcher,MID,BOU,4500000,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,14,0,0,0,Newcastle,Leicester,Tottenham,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Butland,GLK,STK,5000000,3,76,3.2,6.4E-07,1.52E-05,0,150934,0,46,0,88,0,0,0,15.2,2664,0,0,76,0,0.8,0,4,6,0,4,0,0,2.3,113234,0,0,0,1,2160,1075,0,0,449,Leicester,Southampton,Man City,Everton,Arsenal,2.3,3.3,3,3.2,2.7,3.6,3.1,3.8,2.8,4.7,2.6,62.1
Sam,Byram,DEF,WHU,4200000,1,4,0.148148148148148,3.52733686067019E-08,9.52380952380952E-07,0,9666,1,4,0,0,0,0,0,1,213,-3,0,4,3,0.2,0,1,0,0,0,0,0,0.1,3112,0,0,0,0,183,224,0,0,33,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13.3
Willy,Caballero,GLK,CHE,4800000,0,7,0.259259259259259,5.40123456790123E-08,1.45833333333333E-06,0,10816,0,0,0,3,0,0,0,1.5,598,-2,0,7,2,0,0,0,0,0,1,0,0,0.1,8879,0,0,0,0,90,96,0,0,29,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.5
Yohan,Cabaye,MID,CRY,5300000,2,53,2.3,4.33962264150943E-07,1E-05,0,33235,4,30,0,0,0,0,0,10,442,-2,0,53,2,0.3,0,1.7,3,0,4,0,3,0.2,18460,0,0,0,0,1741,236,0,0,319,Tottenham,Man Utd,Chelsea,Huddersfield,Liverpool,0,0,0,1.4,1.5,1.6,2,1.4,2.1,1.3,2.3,128.9
Gary,Cahill,DEF,CHE,6200000,1,55,2.8,4.51612903225806E-07,8.87096774193548E-06,0,599798,0,19,0,0,0,0,0,8.9,3452,-3,0,55,3,0.1,0,0.7,2,0,7,0,0,2.6,83607,0,0,0,0,1452,559,0,1,320,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,2,2,4,0,2.9,3.4,2.8,3.2,2.2,2.9,2.1,45.7
Dominic,Calvert-Lewin,FWD,EVE,5100000,0,74,3,5.88235294117647E-07,1.45098039215686E-05,0,1035420,3,22,0,0,0,4,0,14.2,49715,1,1,74,-1,0.4,0,2,3,0,6,0,6,4.7,1216899,0,0,0,1,1585,7307,-1,0,214,Watford,Burnley,Brighton,Stoke,Man City,2.6,2.2,3.6,2.7,3.1,2.9,2.2,3.3,2.3,3.4,2.2,107.3
Geoff,Cameron,DEF,STK,4300000,0,24,0.888888888888889,2.0671834625323E-07,5.58139534883721E-06,0,40622,1,26,0,0,0,0,0,5.6,534,-2,0,24,2,0.1,0,0.3,0,0,1,0,0,0.3,29683,0,0,0,0,1227,82,0,0,181,Leicester,Southampton,Man City,Everton,Arsenal,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.9,0.4,31.4
Tyrese,Campbell,FWD,STK,4500000,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,1076,0,0,0,Leicester,Southampton,Man City,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Emre,Can,MID,LIV,4800000,2,73,3.3,6.875E-07,1.52083333333333E-05,0,532986,8,26,0,0,0,2,0,15.2,13602,-2,0,73,2,1.2,0,5.7,7,0,7,0,5,5,419550,0,0,0,1,1793,23249,0,0,418,West Ham,Newcastle,Man Utd,Watford,Crystal Palace,3.7,3.5,1.7,3,2.5,3.1,3.5,2.8,3.4,2.4,3.3,100
Etienne,Capoue,MID,WAT,4800000,2,27,1,2.08333333333333E-07,5.625E-06,0,296618,1,13,0,0,0,1,0,5.6,754,-7,0,27,7,0.5,0,2.3,0,0,1,0,1,1.2,40283,0,0,0,0,637,423,0,0,119,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.2
Michael,Carrick,MID,MUN,4200000,1,1,0.037037037037037,8.81834215167548E-09,2.38095238095238E-07,0,110195,0,0,0,0,0,0,0,0.2,1950,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.9,84922,0,0,0,0,24,4044,0,0,0,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,0,0,0,0,0,0,0,0,0,0,0,5.1
Andre,Carrillo,MID,WAT,5500000,0,59,2.5,4.54545454545455E-07,1.07272727272727E-05,0,10523,1,31,0,0,0,1,0,10.7,501,0,0,59,0,0.1,0,0.7,4,0,3,0,3,0.1,12702,0,0,0,0,1425,125,0,0,257,Everton,West Brom,Arsenal,Liverpool,Bournemouth,2.7,2.5,1.4,1.3,2.2,2,1.8,2.1,1.4,2.2,1.2,80.1
Guido,Carrillo,FWD,SOU,6500000,2,5,0.185185185185185,2.84900284900285E-08,7.69230769230769E-07,0,6547,0,4,0,0,0,0,0,0.8,1612,0,0,5,0,0.3,0,1.7,0,0,0,0,0,0.1,12790,0,0,0,0,209,1303,0,0,9,Burnley,Stoke,Newcastle,West Ham,Arsenal,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8
Andy,Carroll,FWD,WHU,5700000,0,25,2.1,3.68421052631579E-07,4.3859649122807E-06,0,102066,5,12,0,0,0,2,0,4.4,1130,-3,0,25,3,0,0,0,3,0,3,0,1,0.2,103234,0,0,0,1,695,56,0,1,71,Liverpool,Swansea,Burnley,Southampton,Chelsea,0,0,0,0,0,1,2.4,1,1.8,1.4,2.2,49.8
Tom,Carroll,MID,SWA,4300000,3,62,2.4,5.58139534883721E-07,1.44186046511628E-05,0,571154,3,28,0,0,0,0,0,14.4,12830,-2,0,62,2,0.4,0,1.7,3,0,7,0,3,5.3,559854,0,0,0,0,1957,26514,0,0,312,Brighton,West Ham,Huddersfield,Man Utd,West Brom,1.4,2.3,1.6,0,1.2,1.6,2.6,1.2,1.8,1.7,2.1,97.4
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,2,0,0,0,Crystal Palace,Huddersfield,Bournemouth,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.037037037037037,8.41750841750842E-09,2.27272727272727E-07,0,1115,0,0,0,0,0,0,0,0.2,13,-1,0,1,1,0,0,0,0,0,0,0,0,0,311,0,0,0,0,19,10,0,0,4,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0,0,0,0,2381,0,0,0,0,0,0,0,0,51,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,930,0,0,0,0,0,31,0,0,0,Man City,Brighton,Watford,Stoke,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
Petr,Cech,GLK,ARS,5300000,4,94,3.5,6.60377358490566E-07,1.77358490566038E-05,0,252493,1,36,0,64,0,0,0,17.7,4015,-2,1,94,2,0.4,0,2.3,4,0,9,0,0,4.4,134600,0,0,0,0,2409,1044,-1,0,477,Man City,Brighton,Watford,Stoke,Southampton,3.8,3,4.8,0,4.8,4.5,2.4,5,2.2,4.6,2.4,51.2
,Cedric,DEF,SOU,4700000,1,46,2.2,4.68085106382979E-07,9.78723404255319E-06,0,701856,1,28,0,0,0,0,0,9.8,2075,-3,0,46,3,0.3,0,1.3,0,0,4,0,0,2.4,244901,0,0,0,0,1804,1212,0,0,288,Burnley,Stoke,Newcastle,West Ham,Arsenal,1.9,2.1,1.5,0,1.9,1.6,1.9,1.4,1.6,1.2,1.5,69.8
Nacer,Chadli,MID,WBA,5600000,0,13,0.481481481481481,8.5978835978836E-08,2.32142857142857E-06,0,39456,1,2,0,0,0,1,0,2.3,64,-4,0,13,4,0,0,0,3,0,1,0,0,0.2,9669,0,0,0,1,174,16,0,0,30,Huddersfield,Watford,Leicester,Bournemouth,Burnley,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Nathaniel,Chalobah,MID,WAT,4200000,0,12,0.444444444444444,1.05820105820106E-07,2.85714285714286E-06,0,202784,1,7,0,0,0,0,0,2.9,1077,-3,0,12,3,0,0,0,0,0,3,0,0,0.7,129012,0,0,0,0,429,647,0,0,37,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,19.6
,Chamberlain,MID,LIV,5600000,1,69,2.55555555555556,4.56349206349206E-07,1.23214285714286E-05,0,375731,1,23,0,0,0,3,0,12.3,23117,-4,1,69,4,0.2,0,1,4,0,3,0,3,2.8,331338,0,0,0,0,1308,5471,-1,0,319,West Ham,Newcastle,Man Utd,Watford,Crystal Palace,2.5,2.3,1.3,2,1.6,2.1,2.4,1.8,2.3,1.5,2.3,127.4
Calum,Chambers,DEF,ARS,4700000,0,5,0.185185185185185,3.94011032308905E-08,1.06382978723404E-06,0,24750,1,6,0,0,0,0,0,1.1,383,-3,0,5,3,0,0,0,0,0,0,0,0,0.2,9272,0,0,0,0,340,160,0,0,56,Man City,Brighton,Watford,Stoke,Southampton,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14
,Chicharito,FWD,WHU,6700000,7,79,3.8,5.67164179104478E-07,1.17910447761194E-05,0,1851424,3,27,0,0,0,7,0,11.8,18042,-3,0,79,3,1,0,6.7,12,0,6,0,2,7.8,1224070,0,0,0,2,1333,36383,0,0,261,Liverpool,Swansea,Burnley,Southampton,Chelsea,2.9,3.3,4.4,0,4.7,2.5,5.3,2.5,4.3,3.5,5,97.5
Benjamin,Chilwell,DEF,LEI,4300000,1,36,1.33333333333333,3.10077519379845E-07,8.37209302325581E-06,0,60015,0,18,0,0,0,0,0,8.4,3885,-2,0,36,2,0.2,0,0.7,0,0,4,0,0,1.3,104263,0,0,0,0,1148,4353,0,1,205,Stoke,Bournemouth,West Brom,Brighton,Newcastle,1.1,0.8,0.7,0,0.7,0.8,0.7,1,1.2,1.2,0.7,35.5
Hamza,Choudhury,MID,LEI,4400000,0,1,0.037037037037037,8.41750841750842E-09,2.27272727272727E-07,0,288,0,0,0,0,0,0,0,0.2,34,-1,0,1,1,0,0,0,0,0,0,0,0,0,381,0,0,0,0,7,36,0,0,2,Stoke,Bournemouth,West Brom,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5400000,2,94,3.6,6.66666666666667E-07,1.74074074074074E-05,0,669428,3,42,0,0,0,4,0,17.4,24122,-1,0,94,1,0.4,0,2,9,0,4,0,5,3.6,812502,0,0,0,2,1998,5670,0,0,291,Leicester,Southampton,Man City,Everton,Arsenal,2.8,3.1,2.6,4.7,2.4,3.4,2.9,3.8,2.2,3.9,3.1,151.8
Andreas,Christensen,DEF,CHE,5300000,7,69,2.55555555555556,4.82180293501048E-07,1.30188679245283E-05,0,433185,0,10,0,0,0,0,0,13,7358,-2,0,69,2,0.5,0,2.7,4,0,8,0,0,1.5,483127,0,0,0,0,1437,8665,0,0,362,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,1.7,1.7,3.7,0,2.5,3,2.4,2.8,1.9,2.5,1.9,43.9
Ciaran,Clark,DEF,NEW,4400000,0,64,3.2,7.27272727272727E-07,1.45454545454545E-05,0,246358,3,30,0,0,0,2,0,14.5,12072,-1,0,64,1,0.3,0,1.3,6,0,4,0,1,2,288846,0,0,0,1,1745,713,0,0,317,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,0,3,3.6,2.7,3.9,2.5,4.3,2.2,3.6,3.5,3.5,67.5
Jordy,Clasie,MID,SOU,4400000,0,0,0,0,0,0,18708,0,0,0,0,0,0,0,0,28,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,4022,0,0,0,0,0,1,0,0,0,Burnley,Stoke,Newcastle,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Cleverley,MID,WAT,5000000,0,58,2.5,5E-07,1.16E-05,0,99933,1,33,0,0,0,1,0,11.6,1404,0,0,58,0,0.2,1,1,3,0,6,0,2,0.4,102376,0,0,0,1,1900,17,0,1,300,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0,2.5,1.4,1.3,2.2,2,1.8,2.1,1.4,2.2,1.2,92.1
Sam,Clucas,MID,SWA,4700000,3,56,2.8,5.95744680851064E-07,1.19148936170213E-05,0,19459,1,19,0,0,0,3,0,11.9,4698,-3,0,56,3,1.4,0,6.7,3,0,4,0,0,0.8,62402,0,0,0,1,1398,9788,0,0,223,Brighton,West Ham,Huddersfield,Man Utd,West Brom,1.8,2.9,2.1,0,1.4,2.1,3.3,1.4,2.3,2.2,2.7,50.9
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0,0,0,0,27868,0,0,0,0,0,0,0,0,99,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1422,0,0,0,0,0,36,0,0,0,West Ham,Newcastle,Man Utd,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Colback,MID,NEW,4200000,0,0,0,0,0,0,111790,0,0,0,0,0,0,0,0,2126,-3,0,0,3,0,0,0,0,0,0,0,0,1.1,113338,0,0,0,0,0,134,0,0,0,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Coleman,GLK,HUD,3900000,0,0,0,0,0,0,69002,0,0,0,0,0,0,0,0,5281,-1,0,0,1,0,0,0,0,0,0,0,0,4.4,193419,0,0,0,0,0,32066,0,0,0,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0
Seamus,Coleman,DEF,EVE,6400000,1,3,0.111111111111111,1.73611111111111E-08,4.6875E-07,0,11890,0,1,0,0,0,0,0,0.5,2200,-1,0,3,1,0.2,0,1,0,0,0,0,0,0.3,6914,0,0,0,0,135,216,0,0,22,Watford,Burnley,Brighton,Stoke,Man City,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.6
James,Collins,DEF,WHU,4300000,9,35,1.2962962962963,3.01464254952627E-07,8.13953488372093E-06,0,24513,2,12,0,0,0,1,0,8.1,1723,-2,0,35,2,0.9,0,4,3,0,3,0,0,0.4,30057,0,0,0,0,867,8805,0,0,177,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.6,0.6,1,0,1,0.6,1.1,0.6,0.7,0.6,0.8,39.9
Francis,Coquelin,MID,ARS,4300000,0,7,1,2.32558139534884E-07,1.62790697674419E-06,0,40639,0,6,0,0,0,0,0,1.6,358,-2,0,7,2,0,0,0,0,0,0,0,0,0.5,15777,0,0,0,0,164,12,0,0,35,Man City,Brighton,Watford,Stoke,Southampton,0,0,0,0,0,0,0,0,0,0,0,4.8
Jack,Cork,MID,BUR,4600000,2,69,2.6,5.65217391304348E-07,1.5E-05,0,336267,6,24,0,0,0,1,0,15,7407,1,0,69,-1,0.4,0,1.7,3,0,10,0,1,2.9,431549,0,0,0,0,2430,7020,0,0,375,Southampton,Everton,West Ham,West Brom,Watford,2.1,2.9,1.8,0,1.9,1.8,2.4,1.7,2.3,1.5,2.4,87.9
,Costa,FWD,CHE,9500000,0,0,0,0,0,0,66284,0,0,0,0,0,0,0,0,105,-5,0,0,5,0,0,0,0,0,0,0,0,0.3,2418,0,0,0,0,0,8,0,0,0,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
Thibaut,Courtois,GLK,CHE,5400000,6,107,4.1,7.59259259259259E-07,1.98148148148148E-05,0,769653,1,23,0,53,0,0,0,19.5,22510,-1,1,107,1,0.5,0,2.7,2,0,13,0,0,11.2,472438,0,0,0,0,2340,3347,-1,0,478,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,3.6,3.7,5.9,0,5,5.7,4.9,5.5,4,5,3.9,37.3
Philippe,Coutinho,MID,LIV,9100000,0,103,7.4,8.13186813186813E-07,1.13186813186813E-05,0,1722962,0,14,0,0,0,7,0,11.3,4889,1,0,103,-1,0,0,0,15,0,5,0,7,3.6,1531089,0,0,0,4,1109,8,0,0,381,West Ham,Newcastle,Man Utd,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,169.4
Martin,Cranie,DEF,HUD,4000000,0,2,0.7,1.75E-07,5E-07,0,23811,0,7,0,0,0,0,0,0.5,598,0,0,2,0,0,0,0,0,0,0,0,0,0.2,24102,0,0,0,0,179,25,0,0,35,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,4.7
Aaron,Cresswell,DEF,WHU,5100000,11,84,3.4,6.66666666666667E-07,1.64705882352941E-05,0,236987,4,38,0,0,0,0,0,16.5,9579,1,0,84,-1,0.8,0,4.3,10,0,7,0,5,3.4,384965,0,0,0,0,2109,11518,0,0,420,Liverpool,Swansea,Burnley,Southampton,Chelsea,3,2.7,4.2,0,4.1,3,4.4,2.8,3.4,2.5,3.6,102
Peter,Crouch,FWD,STK,4800000,0,51,2.4,5E-07,1.0625E-05,0,354584,1,20,0,0,0,3,0,10.4,25975,-2,1,51,2,0.2,0,1,4,0,0,0,2,2.5,346084,0,0,0,0,1037,1207,-1,0,159,Leicester,Southampton,Man City,Everton,Arsenal,0,2.1,2.1,2.6,1.2,2.1,1.6,2.2,1.4,2.6,1.6,73.8
Josh,Cullen,MID,WHU,4500000,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,125,0,0,0,Liverpool,Swansea,Burnley,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Daniels,DEF,BOU,4700000,0,70,2.9,6.17021276595745E-07,1.48936170212766E-05,0,1046528,0,32,0,0,0,1,0,14.9,14283,-3,0,70,3,0.6,0,2.7,4,0,5,0,1,6.8,531638,0,0,0,0,2097,14300,0,0,414,Newcastle,Leicester,Tottenham,West Brom,Watford,2.7,2.1,3,3.2,3,4.2,2.6,3.2,3,2.8,2.7,89.4
,Danilo,DEF,MCI,5000000,1,65,4.3,8.6E-07,1.3E-05,0,395161,1,7,0,0,0,2,0,13,11781,-5,0,65,5,0.7,0,3.7,5,0,6,0,1,2.6,286995,0,0,0,1,855,3983,0,0,263,Arsenal,Chelsea,Stoke,Everton,Man Utd,4.5,5.2,4.9,0,3.5,5.5,4.3,5,5,5.8,5.3,49.1
Scott,Dann,DEF,CRY,4600000,0,32,1.9,4.1304347826087E-07,6.95652173913044E-06,0,86869,4,26,0,0,0,1,0,7,492,-4,0,32,4,0,0,0,0,0,1,0,0,0.3,39393,0,0,0,0,1434,13,0,0,211,Tottenham,Man Utd,Chelsea,Huddersfield,Liverpool,0,0,0,0,0,1,2,1.5,1.5,1.3,1.7,67
Karl,Darlow,GLK,NEW,4400000,0,33,1.22222222222222,2.77777777777778E-07,7.5E-06,0,25942,0,15,0,35,0,0,0,7.5,2274,-1,0,33,1,0.2,0,1,2,0,2,0,0,0.3,24377,1,0,0,1,900,329,0,0,172,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,0.6,0.6,0.8,0.6,0.9,0.6,1.1,0.6,0.8,0.8,0.8,25.9
Matteo,Darmian,DEF,MUN,4900000,0,9,0.333333333333333,6.80272108843537E-08,1.83673469387755E-06,0,33188,0,2,0,0,0,0,0,1.8,123,-6,0,9,6,0,0,0,0,0,1,0,0,0.2,7019,0,0,0,0,195,60,0,0,46,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.8
,David Luiz,DEF,CHE,5700000,0,32,1.18518518518519,2.07927225471085E-07,5.6140350877193E-06,0,1184238,3,13,0,0,0,1,0,5.6,4334,-3,0,32,3,0.1,0,0.7,0,0,3,0,2,7.6,326553,0,0,0,0,838,447,0,1,186,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,0,0.6,1.3,0,0.7,1,0.7,0.9,0.6,0.7,0.6,29.6
,David Silva,MID,MCI,7900000,0,108,5.1,6.45569620253165E-07,1.36708860759494E-05,0,2300076,5,13,0,0,0,5,0,13.7,23500,-1,0,108,1,0,0,0,15,0,9,0,8,6.3,2252376,0,0,0,3,1734,6313,0,0,435,Arsenal,Chelsea,Stoke,Everton,Man Utd,4.5,5.5,5.2,0,6,5.4,4.4,6.3,5.3,7.1,5.6,200.8
Ben,Davies,DEF,TOT,5700000,12,112,5.1,8.94736842105263E-07,1.96491228070175E-05,0,1581984,1,15,0,0,0,2,0,20,11321,2,-2,112,-2,1.1,0,6.3,13,0,8,0,6,19.8,2228490,0,0,0,4,1693,287135,2,0,473,Crystal Palace,Huddersfield,Bournemouth,Newcastle,Chelsea,6,7.5,5,6.3,5.7,5.9,6,5.9,7.2,5.1,6.6,123.3
Tom,Davies,MID,EVE,5100000,7,42,1.8,3.52941176470588E-07,8.23529411764706E-06,0,66337,6,18,0,0,0,1,0,8.2,559,-4,0,42,4,0.6,0,3.3,0,0,4,0,2,0.4,36003,0,0,0,0,1261,2438,0,0,151,Watford,Burnley,Brighton,Stoke,Man City,0.9,0.9,1.4,0.9,0.9,1,0.9,1.4,0.9,1.3,0.9,47.9
Steven,Davis,MID,SOU,4700000,1,70,3.2,6.80851063829787E-07,1.48936170212766E-05,0,429114,0,21,0,0,0,3,0,14.9,9097,-3,1,70,3,0.2,0,1,6,0,4,0,2,1.8,482141,0,0,0,2,1483,1400,-1,0,334,Burnley,Stoke,Newcastle,West Ham,Arsenal,0,0,0,0,2.7,2.2,2.6,2.6,3.1,3.1,1.9,82.4
Craig,Dawson,DEF,WBA,4800000,1,52,3.1,6.45833333333333E-07,1.08333333333333E-05,0,315021,4,23,0,0,0,1,0,10.8,1902,-2,0,52,2,0.2,0,1,3,0,5,0,0,1.3,111414,0,0,0,1,1520,3133,0,0,259,Huddersfield,Watford,Leicester,Bournemouth,Burnley,3.9,3.1,3.3,2.2,3.7,3.3,2.1,3.6,2.2,3.5,3.5,60.5
Kevin,De Bruyne,MID,MCI,10400000,13,174,6.4,6.15384615384615E-07,1.67307692307692E-05,0,2008281,1,19,0,0,0,7,0,16.9,29183,4,-1,174,-4,0.9,0,9.7,25,0,13,0,16,24.2,1821562,0,0,0,5,2311,107562,1,0,716,Arsenal,Chelsea,Stoke,Everton,Man Utd,6.3,7.6,7.2,0,7.8,7.5,6.2,8.6,7.4,9.5,7.8,293.5
David,de Gea,GLK,MUN,5900000,2,137,5.1,8.64406779661017E-07,2.32203389830508E-05,0,864198,0,19,0,87,0,0,0,23.2,44514,4,0,137,-4,0.6,0,3.3,10,0,15,0,0,43.2,1192026,0,0,0,0,2430,14099,0,0,577,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,7.1,5.6,7.2,0,6.8,4.5,7.3,4.6,7.6,5.5,7.4,61.9
Siem,de Jong,MID,NEW,4900000,0,0,0,0,0,0,9717,0,0,0,0,0,0,0,0,14,-1,0,0,1,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0,0,0,0,1537,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,3,0,0,0,Man City,Brighton,Watford,Stoke,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
